Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
г.Апатиты, пр. Сидоренко, д.22а ;МОУ СОШ №7;154;1
г.Апатиты, ул. Дзержинского, д.53;Библиотека;155;1
г.Апатиты, ул. Ферсмана, д.14;Геологический институт КНЦ РАН ;156;1
г.Апатиты, ул.Космонавтов, д.19;филиал Гимназии №1;157, 158;2
г.Апатиты, ул. Ленина, д.11;МОУ гимназия №1;159;1
г.Апатиты, ул. Ленина, д.19а;МОУ СОШ №6;160;1
г.Апатиты, ул. Бредова, д.27а;МОУ СОШ №3;161, 162;2
г.Апатиты, ул. Ленина, д.24;АГДК им.Егорова ;163, 164;2
г.Апатиты, ул. Зиновьева, д.5а;Общежитие Кольского медицинского колледжа ;165;1
г.Апатиты, ул. Ферсмана, д.40а;МОУ СОШ №5;166;1
г.Апатиты, ул. Бредова, д.2а;МОУ СОШ №14;167, 168;2
г.Апатиты, ул. Зиновьева, д.5;Кольский медицинский колледж ;169;1
г.Апатиты, ул. Ферсмана, д.24;Горный институт КНЦ РАН;170;1
г.Апатиты, ул. Космонавтов, д.21;АЦГБ, СИЗО ;171;1
г.Апатиты, ул. Кирова, д.18;Правление ОАО Агрофирма «Индустрия» ;172;1
г.Апатиты, ул. Дзержинского, д.34;МОУ СОШ №15;173, 176;2
г.Апатиты, ул. Строителей, д.97;МОУ СОШ №10;174;1
г.Апатиты, ул. Жемчужная, д.38;МОУ СОШ №4;175, 178;2
г.Апатиты, ул. Зиновьева, д.18;Дом спорта «НАУКА»(;177;1
