Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
г.Мончегорск, ул. Лесная,10;Библиотека №9;315;1
г.Мончегорск, ул. 3-я Нагорная,42;Профессиональный лицей №5;316;1
г.Мончегорск, ул. Кондрикова,30;МОУ СОШ №7;317;1
г.Мончегорск, ул. Кондрикова,8;МОУ детский сад №24;318;1
г.Мончегорск, ул. Бредова,1;МОУ гимназия №1;319;1
г.Мончегорск, ул. Комсомольская,31/16;МОУ лицей им.В.Г.Сизова;320, 321;2
г.Мончегорск, пр. Металлургов,39а;центральная детская библиотека;322;1
г. Мончегорск, ул. Бредова , д.23;МУ «Управление по делам ГО и защите населения от ЧС г. Мончегорска»;323;1
г.Мончегорск, ул. Ферсмана,7;"ЦРТД и Ю ""Полярис""";324;1
г.Мончегорск, ул. Котульского,1;МОУ СОШ №1;325;1
г.Мончегорск, пр. Кирова,17;МОУ СОШ №5;326;1
г.Мончегорск, Ленинградская набережная, 43/3;ДЮКФП;327;1
г.Мончегорск, пр. Кирова,7;СКФКиС;328;1
г.Мончегорск, пр. Металлургов,30;"МУ ""Городской центр культуры""";330;1
г.Мончегорск, ул. Новопроложенная,7;МОУ СОШ №2;331;1
г.Мончегорск, ул. Комсомольская,24;МОУ СОШ №14;332;1
г.Мончегорск, ул. Строительная,3;филиал МОУ СОШ №14;333;1
г.Мончегорск, ул. Царевского,4;МОУ СОШ №8;334;1
г.Мончегорск, пер. Строительный, 1;"""Детская школа искусств"" ";335;1
г.Мончегорск, пр. Металлургов,1;политехнический колледж;336;1
н.п. 25-й километр;Красный уголок;337;1
н.п. 27-й километр;СОШ №10;338;1
