Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
г.Мурманск, ул. Торцева, д. 14;МОУ Школа искусств № 3;1;1
г.Мурманск, ул. Торцева, д. 1;МОУ ВСОШ №7;2;1
г.Мурманск, улица Нахимова, дом № 21;Кинотеатр «Аврора»;3;1
г.Мурманск, ул. Сафонова, д. 37;МОУ СОШ №38;4;1
г.Мурманск, ул. Сафонова, д. 18;МОУ начальная школа - детский сад №14;5;1
г.Мурманск, ул. Сафонова, д. 11;МОУ СОШ №57;6;1
г.Мурманск, ул. Адмирала Лобова, д. 18;МОУ Межшкольный учебный комбинат ;7;1
г.Мурманск, просп. Героев-североморцев, д. 76, корп. 3;МОУ СОШ №41;8, 9, 10, 11;4
г.Мурманск, ул. А. Невского, д. 86;ГООУ СПО «Мурманский строительный колледж им. М.Е.Момота»;12,13, 14;3
г.Мурманск, ул. Чумбарова-Лучинского, д. 3б;МОУ СОШ №18;15, 16, 17;3
г.Мурманск, пер. Казарменный, д. 2;СДЮШОР №4 ;18;1
г.Мурманск, ул. Халатина, д. 17;МОУ СОШ №45;19,20;2
г.Мурманск, ул. Халатина, д. 7;Мурманский  институт  Санкт-Петербургской Академии управления и экономики;21;1
г.Мурманск, ул. Аскольдовцев, д. 9/22;МОУ  гимназия № 4;22, 23;2
г.Мурманск, ул. Александрова, д. 32, корп. 2;МОУ СОШ №5;24, 25;2
г.Мурманск, ул. Ивченко, д. 15;МОУ гимназия № 9 ;26, 27, 28;3
г.Мурманск, ул. Гаджиева, д. 6а;МОУ СОШ №11;29, 30;2
г.Мурманск, ул. Миронова, д. 5;МОУ СОШ №44;31, 32, 34;3
г.Мурманск, ул. Гагарина, д. 21;МУП ОУ «Детский морской центр Океан»;33;1
г.Мурманск, ул. Подстаницкого, д. 1;ГОУ «МФЦ МО» ;35;1
г.Мурманск, просп. Героев-североморцев, д. 5, корп. 3;Общежитие ООО «УК «Гарант»;36;1
г.Мурманск, ул. П. Морозова, д. 3;МОУ СОШ №26;37, 38;2
г.Мурманск, ул. Туристов, д. 34а;МОУ прогимназия № 61;39;1
