Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
г.Североморск, ул.Душенова, 19;МОУ СОШ №12;421, 422, 423;3
г.Североморск, ул.Душенова, 10а;МБУК «ЦДМ» ;424;1
г.Североморск, ул.Сафонова, 1а;Дом офицеров флота;425;1
г.Североморск, ул.Душенова, 13а;МОУ СОШ №10;426;1
г.Североморск, ул.Кирова, 19;МОУ СОШ №1;427, 428, 429;3
г.Североморск, ул.Саши Ковалева, 7;МОУ СОШ №7;430;1
г.Североморск, ул.Сев.Застава, 1;спорткомплекс «Олимпийский»;431;1
г.Североморск, ул.Советская, 23а;МОУ ДОД  СЮТ;432;1
г.Североморск, ул.Падорина, 2;"ДК ""Строитель""";433;1
г.Североморск, ул.Полярная, 11;МОУ гимназия №1;434, 435;2
г.Североморск, ул.Колышкина, 11;"спорткомплекс ""Богатырь""";436;1
г.Североморск, ул.Комсомольская, 33;МОУ СОШ №11;437, 438;2
г.Североморск, ул.Гвардейская, 26;МОУ СОШ №9;439, 440;2
г.Североморск, ул.Кортик, 14;городская библиотека №4;441;1
п.Сафоново, ул.Вербицкого, 24;Дом офицеров;442;1
п.Сафоново-1, ул.Панина, 11 а;МОУ СОШ №5;443;1
п.Росляково, ул.Приморская, 2;ГООУ НПО «ПЛ № 19»;444;1
п.Росляково, ул.Заводская, 1;"ДК ""Судоремонтник""";445, 446;2
п.Росляково, ул.Молодежная, 14;МОУ СОШ №4;447;1
с.Щукозеро, ул.Агеева, 7а;МОУ ООШ №6;448;1
п.Североморск-3, ул.Школьная, 7;МОУ СОШ №8;449;1
г. Североморск,  ул. Комсомольская,27;Центральная районная больница;450;1
г. Североморск, Мурманское шоссе, 1;Военно-морской клинический госпиталь Северного флота;451;1
