Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
г. Полярный, ул. Героев Североморцев, д. 3;;212;1
г. Полярный, ул. Котельникова, д. 6;МБОУ «ООШ № 1»;213;1
г. Полярный, ул. Гаджиева, д. 3;ГЦК «Север»;214;1
г. Полярный, ул. Душенова, д. 4;МБОУ «ДОД ДДТ»;215;1
г. Полярный, ул. Красный Горн, д. 6;МБОУ «Гимназия»;216, 217;2
с. Белокаменка;Сельский клуб нп 25км;218;1
г. Полярный, ул. Гагарина, д. 1;МБОУ ООШ № 2;219;1
г. Полярный, ул. Лунина, д. 6;МБОУ ДОД «Детская школа искусств»;220;1
г. Гаджиево, ул. Гаджиева, д. 33/1;МБОУ «СОШ № 276»;221;1
г. Гаджиево, ул. Душенова, д. 90-А;МБОУ «ООШ № 279»;222;1
г. Гаджиево, ул. Гаджиева, д. 40;МБУК «Центр творчества и досуга»;223;1
г. Гаджиево, ул. Советская, д. 74/1;МБОУ ДОД «ДДТ»;224;1
г. Гаджиево, ул. Колышкина, д. 114-А;МБОУ ДОД «Детская музыкальная школа»;225;1
г. Снежногорск, ул. Флотская, д. 10;МБОУ «ВСОШ»;226;1
г. Снежногорск, ул. В. Бирюкова, д. 21;МБОУ «СОШ № 266»;227;1
г. Снежногорск, ул. П. Стеблина, д. 5;ЦГПВМ ОМДТ «Роза ветров»;228;1
г. Снежногорск, ул. П. Стеблина, д. 19;МБОУ «ООШ № 269»;229;1
г. Снежногорск, ул. Мира, д. 3;МБУК «ГДК «Современник»;230;1
г. Снежногорск, мкр. Скальный, д. 5;филиал МБОУ «ООШ №269»;231;1
ЗАТО Александровск, нп Оленья Губа, ул. Строителей, д. 26/1;МБОУ «ООШ № 280»;232;1
