Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
г. Кола, пр. Защитников Заполярья, д. 7;"МУК ""Кольский районный Центр культуры""";341;1
г. Кола, ул. Победы, д. 7;МОУ дополнительного образования детей Кольский районный Дом детского творчества;342;1
г. Кола, проспект Советский, д. 41а;МБОУ Кольская средняя общеобразовательная школа N 2;343;1
г. Кола, ул. Привокзальная, д. 9;Кольское ГО УДРСП (актовый зал);344;1
Кольский район, пгт Мурмаши, ул. Энергетиков, д. 19;МОУ Мурмашинская средняя общеобразовательная школа N 1 (бывшее здание школы N 3);345;1
Кольский район, пгт Мурмаши, ул. Советская, д. 18;МОУ Мурмашинская средняя общеобразовательная школа N 1;346;1
Кольский район, пгт Мурмаши, ул. Энергетиков, д. 1;Муниципальное бюджетное учреждение культуры Дом культуры «Энергетик»;347;1
Кольский район, пгт Мурмаши, ул. Гвардейская, д. 6;МОУ ДОД Детско-юношеский центр;348;1
Кольский район, пгт Мурмаши, ул. Причальная, д. 30;МОУ Причальненская начальная общеобразовательная школа;349;1
Кольский район, пгт Молочный, ул. Торговая, д. 8;МОУ Молочненская средняя общеобразовательная школа;350;1
Кольский район, пгт Молочный, ул. Торговая, д. 1а;"МУК Городской Дом культуры ""Гармония""";351;1
Кольский район, с. Териберка, ул. 1-ая пятилетка, д. 14;МУК Териберский Дом культуры;352;1
Кольский район, с. Териберка, ул. Школьная, д. 5б;МОУ Лодейнинская средняя общеобразовательная школа с. Териберка;353;1
Кольский район, пгт Туманный, ул. Энергетиков, д. 2а;МОУ Туманненская основная общеобразовательная школа;354;1
Кольский район, нп Зверосовхоз, ул. Зелёная, д. 14;"МБУК ""Кильдинский городской Дом культуры""";355;1
Кольский район, пгт Кильдинстрой, ул. Советская, д. 2;"МБУК ""Кильдинский городской Дом культуры""";356;1
Кольский район, нп . Шонгуй, ул. Комсомольская, д. 5;"МБУК ""Кильдинский городской Дом культуры""";357;1
Кольский район, ж-д ст. Магнетиты, ул. Набережная, д. 14;Детский (подростковый) клуб;358;1
Кольский район, нп Пушной, ул. Центральная, д. 14;"МУК ""Пушновский сельский Дом культуры""";359;1
Кольский район, нп Песчаный, ул. Ткачева, д. 1, кв. 4;Муниципальная квартира;360;1
Кольский район, ж.-д. ст. Лопарская, д. 16б;"МУК ""Лопарский сельский Дом культуры"" (филиал)";361;1
Кольский район, пгт Верхнетуломский, ул. Дружбы, д. 17;Муниципальное образовательное учреждение дополнительного образования детей «Верхнетуломская детская музыкальная школа»;362;1
Кольский район, с. Тулома, ул. Мира, д. 6;"МУК ""Туломский сельский Дом культуры""";363;1
Кольский район, ж.-д. ст. Пяйве, д. 30, кв. 23;Помещение квартиры;364;1
Кольский район, с. Минькино, д. 135;"Государственное областное образовательное учреждение ""Минькинская специальная (коррекционная) школа-интернат 5 вида""";365;1
Кольский район, нп Междуречье, ул. Строительная, д. 5А;МОУ Междуреченская средняя общеобразовательная школа;366;1
Кольский район, нп Мишуково, ул. Почтовая, д. 19;Муниципальное помещение администрации с. п. Междуречье,;367;1
Кольский район, нп Килпъявр, ул. Небольсина, д. 12;МОУ Килпъяврская средняя общеобразовательная школа имени А. С. Хлобыстова;368;1
Кольский район, с. Ура-Губа, ул. Рыбацкая, д. 35;МОУ Урагубская средняя общеобразовательная школа;369;1
;;;
;;;
;;;
;;;
