Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
г. Оленегорск, ул. Мира, д. 38а;;251, 252;2
г. Оленегорск, ул. Строительная, д. 22;;253;1
г. Оленегорск, ул. Мира, д. 48;;254;1
г. Оленегорск, ул. Парковая, д. 26;;255, 256;2
г. Оленегорск, ул. Строительная, д. 40;;257;1
г. Оленегорск, Ленинградский пр. , д. 5;;258;1
г. Оленегорск, ул. Южная, д. 11а;;259, 260;2
г. Оленегорск, ул. Строительная, д. 65;;261, 262;2
г. Оленегорск, нп Высокий, ул. Сыромятникова, д. 13а;;263, 264;2
г. Оленегорск, ждс Лапландия, ул. Заводская, д. 20;;265;1
