Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
г. Североморск, ул. Душенова, 19а;МБОУ СОШ № 12;135, 136, 137;3
г. Североморск, ул. Душенова, 10а;МБУК «ЦДМ»;138;1
г. Североморск, ул. Сафонова, 1а;Дом офицеров флота;139;1
г. Североморск, ул. Душенова, 13а;МБОУ СОШ № 10;140;1
г. Североморск, ул. Кирова, 19;МБОУ СОШ № 10;141, 142, 143;3
г. Североморск, ул. С. Ковалева, 7;МБОУ СОШ № 7;144;1
г. Североморск, ул. Северная Застава, 1;спорткомплекс «Олимпийский»;145;1
г. Североморск, ул. Советская. 23А;МОУ ДОД СЮТ;146;1
г. Североморск, ул. Падорина, 2;МБУК ДК «Строитель»;147;1
г. Североморск, ул. Полярная, 11;МБОУ гимназия № 1;148, 149;2
г. Североморск, ул. Колышкина, 11;спорткомплекс «Богатырь»;150;1
г. Североморск, ул. Комсомольская, 33;МБОУ СОШ № 11;151, 152;2
г. Североморск, ул. Гвардейская, 26;МБОУ СОШ № 9;153, 154;2
г. Североморск, ул. Кортик, 14;городская библиотека № 4;155;1
г. Североморск, пгт Сафоново, ул. Вербицкого, 24;Дом офицеров;156;1
г. Североморск, пгт Сафоново-1, ул. Панина, 11а;МБОУ СОШ № 5;157;1
г. Североморск, пгт Росляково, ул. Приморская, 2;ГАОУ МО СПО «СТК»;158;1
г. Североморск, пгт Росляково, ул. Школьная, 1;МБОУ СОШ № 3;159;1
г. Североморск, пгт Росляково, ул. Заводская, 1;МБУК ДК «Судоремонтник»;160, 161;2
г. Североморск, пгт Росляково, ул. Молодежная, 14;МБОУ СОШ № 4;162;1
г. Североморск, нп Щукозеро, ул. Агеева, 7а;МБОУ ООШ № 6;163;1
г. Североморск, нп Североморск-3, ул. Школьная, 7;МБОУСОШ № 8;164;1
