Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
г. Кировск, ул. Кирова, д. 27а;МОУ СОШ № 2;233, 234;2
г. Кировск, ул. Олимпийская, д. 8а;МУ «Вечерняя сменная общеобразовательная школа»;235, 236;2
г. Кировск, ул. Олимпийская, д. 57А;Хибинская гимназия;237, 238;2
г. Кировск, ул. Коммунальная, д. 9;Филиал Костромского госуниверситета;239;1
г. Кировск, ул. Мира, д. 7;МАУК «Кировский городской Дворец культуры»;240, 242, 244;3
г. Кировск, ул. Мира, д. 9;МОУ СОШ № 7;241;1
г. Кировск, пр. Ленина, д. 25;административное здание (бывшее здание лицея г. Кировска);243, 247;2
г. Кировск, ул. Советской Конституции, д. 10;МОУ СОШ № 5;245;1
г. Кировск, ул. Ленинградская, д. 2;административное здание (бывшее здание ЛГИ);246;1
г. Кировск, пр. Ленина, д. 28;поликлиника;248;1
г. Кировск, пос. Титан;СДК;249;1
г. Кировск, пос. Коашва;СДК;250;1
