Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
Кандалакшский район, с. Лувеньга, ул. Молодежная, д. 11;МДОУ СОШ № 20;301;1
г. Кандалакша, ул. Восточная, д. 7;МАОУ ДОД «Специализированная детско-юношеская спортивная школа олимпийского резерва по натурбану»;302;1
г. Кандалакша, ул. Беломорская, д. 19;ООО «Кандалакшский морской торговый порт»;303;1
г. Кандалакша, ул. Первомайская, д. 9;МУ «Кандалакшское управление по делам ГО и ЧС»;304;1
г. Кандалакша, ул. Первомайская, д. 32;Филиал ГКЦ «НИВА» МБУ «Дворец культуры «Металлург»;305;1
г. Кандалакша, ул. Аэронавтов, д. 4а;МБУ СОШ №10;306;1
г. Кандалакша, ул. Комсомольская, д. 10;МАОУ ДОД ДЮЦ «Ровесник»;307;1
г. Кандалакша, ул. Набережная, д. 151;МАОУ ДОД «ЦДТ «Вега»;308;1
г. Кандалакша, ул. Первомайская, д. 63;МБОУ СОШ №1;309, 310, 311;3
г. Кандалакша, ул. Пронина, д. 22а;ГОБУ «Центр занятости населения города Кандалакша»;312;1
г. Кандалакша, ул. Новая, д. 1;МОУ ООШ№19;313, 314;2
г. Кандалакша, ул. 3-я Линия, д. 7;МБ ДОУ Детский сад № 3;315;1
г. Кандалакша, ул. Спекова, д. 7;ГАОУ МО СПО «Кандалакшский индустриальный колледж»;316;1
г. Кандалакша, ул. Спекова, д. 15;МБОУ СОШ № 2;317, 318;2
г. Кандалакша, ул. Спекова, д. 50;ГАОУ МО СПО «Кандалакшский индустриальный колледж»;319;1
г. Кандалакша, ул. Кировская аллея, д. 1;МБУ «Дворец культуры «Металлург»;320, 321;2
г. Кандалакша, ул. 2- я Парковая, д. 11;МБОУ ООШ № 5;322;1
г. Кандалакша, ул. Чкалова, д. 37;ГОБУСОН «Кандалакшский центр соц. обслуживания населения»;323;1
г. Кандалакша, ул. Высокая, д. 2;МБОУ ООШ № 9;324, 325;2
г. Кандалакша, ул. Наймушина, д. 21;ГОСУСОССЗН «Кандалакшский дом-интернат для престарелых и инвалидов»;326;1
Кандалакшский район, нп Белое море, д. 6;Беломорский СДК;327;1
Кандалакшский район, нп Нивский, ул. Букина, д. 1;Нивский СДК;328;1
Кандалакшский район, Лупче-Савино-1;;329;1
Кандалакшский район, пгт Зеленоборский, ул. Озерная, д. 27а;МБУ Зеленоборский Центральный дом культуры;330, 331 ;2
Кандалакшский район, пгт Зеленоборский, ул. Энергетическая, д. 24а;МОУ СОШ № 6;332;1
Кандалакшский район, пгт Зеленоборский, ул. Школьная, д. 1а;МБУК Дом культуры «Восток»;333;1
Кандалакшский район, п. Лесозаводский, ул. Центральная, д. 11а;МБУ КЛСДК «Дружба»;334;1
Кандалакшский район, с. Алакуртти, ул. Содружества, д. 1;МОУ СОШ № 3 с. Алакуртти;335;1
Кандалакшский район, с. Алакуртти, ул. Набережная, д. 37;МБУ «Центр культуры, молодежи и спорта им. Кириллина»;336, 337;2
Кандалакшский район, с. Алакуртти, ул. Набережная, д. 4;МАДОУ детский сад № 55;338;1
Кандалакшский район, нп Зареченск, ул. Кумская, д. 2;МБУ КДЦ «Космос»;339;1
Кандалакшский район, нп Зареченск, ул. Первомайская;МБУ КДЦ «Космос»;340;1
