Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
г. Ковдор, ул. Чехова, д. 8;МБОУ основная общеобразовательная школа № 2;266, 267;2
г. Ковдор, ул. Комсомольская, д. 15;МБОУ основная общеобразовательная школа № 3, спортивный зал;268;1
г. Ковдор, ул. Комсомольская, д. 14;ГАОУ МО СПО «Ковдорский политехнический колледж», обеденный зал столовой;269;1
Ковдорский район, нп Лейпи;филиал МБОУ средняя общеобразовательная школа № 1, игровая комната;270;1
г. Ковдор, ул. Кирова, д. 24А;МБОУ ДОД Детско-юношеская спортивная школа № 2, спортивный зал № 1;271;1
г. Ковдор, ул. Школьная, д. 2;МБУК «Городской Дворец культуры», танцевальный зал 1-го этажа;272;1
г. Ковдор, ул. Комсомольская, д. 6А;МБОУ средняя общеобразовательная школа № 1;273, 274;2
Ковдорский район, нп Куропта;МБУК «Сельский Дом культуры», танцевальный зал;275;1
Ковдорский район, с. Ена;МБУК «Сельский Дом культуры», танцевальный зал;276;1
Ковдорский район, нп Енский;МБОУ ДОД «Енская детская музыкальная школа», актовый зал;277;1
Ковдорский район, нп Риколатва, ул. Победы, д. 3а;библиотека - филиал № 4 МБУК ЦБС, читальный зал;278;1
