Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
Печенгский район, пгт Никель, пр. Гвардейский, д. 21;Школа № 1;370;1
Печенгский район, пгт Никель, ул. Сидоровича, д. 13;Музыкальная школа № 1;371;1
Печенгский район, пгт Никель, ул. Сидоровича, д. 16;МУП «Жилфонд»;372;1
Печенгский район, пгт Никель, ул. Октябрьская, д. 1;ДК «Восход»;373;1
Печенгский район, пгт Никель, ул. Бредова, д. 2;Школа № 3;374;1
Печенгский район, пгт Никель, ул. Печенгская, д. 1а;Художественная школа № 1;375, 376;2
Печенгский район, пгт Никель, пр. Гвардейский, д. 33;МКПУ «Печенгское МБО»;377;1
Печенгский район, пгт Никель, ул. Спортивная, д. 13;Школа № 20;378, 379;2
Печенгский район, нп Приречный;Представительство администрации;380;1
Печенгский район, нп Раякоски;Сельский дом культуры;381;1
г. Заполярный, ул. Ленинградкая, д. 4а;Отдел кадров ОАО «Кольская ГМК»;382;1
г. Заполярный, ул. Ленина, д. 4;Музыкальная школа № 2;383;1
г. Заполярный, ул. Сафонова, д. 9а;Школа № 22;384;1
г. Заполярный, ул. Космонавтов, д. 6а;Школа № 9;385;1
г. Заполярный, ул. Мира, д. 2а;ДДТ № 2;386, 387;2
г. Заполярный, ул. Стрельцова, д. 1а;ДК «Октябрь»;388;1
г. Заполярный, ул. Крупской, д. 2а;Школа № 19;389, 390;2
г. Заполярный, ул. Юбилейная, д. 14;МБУ «ММЦ», 2 этаж;391;1
г. Заполярный, ул. Юбилейная, д. 14;МУП «Печенгская компания», 3 этаж;392;1
Печенгский район, ж-д. ст. «Печенга» (19 км);Филиал библиотеки;393;1
Печенгский район, нп Спутник;Клуб;394;1
Печенгский район, пгт Печенга;Дом офицеров;395;1
Печенгский район, нп Лиинахамари;Школа № 23;396;1
Печенгский район, нп Луостари Нижнее;Клуб;397;1
Печенгский район, нп Луостари Верхнее;здание кафе;398;1
Печенгский район, нп Корзуново;филиал школы № 7;399;1
