Условный номер ТИК;Номер УИК;Адрес помещения для голосования
0;0;
1;0;
1;1;183017, Мурманская область, город Мурманск, улица Александра Торцева, 14
1;2;183017, Мурманская область, город Мурманск, улица Александра Торцева, 1
1;3;183017, Мурманская область, город Мурманск, улица Нахимова, 21
1;4;183017, Мурманская область, город Мурманск, улица Адмирала флота Лобова, 51
1;5;183017, Мурманская область, город Мурманск, улица Сафонова, 37
1;6;183017, Мурманская область, город Мурманск, улица Сафонова, 11
1;7;183017, Мурманская область, город Мурманск, улица Адмирала флота Лобова, 18
1;8;183034, Мурманская область, город Мурманск, проспект Героев-Североморцев, 76, корпус 3
1;9;183034, Мурманская область, город Мурманск, проспект Героев-Североморцев, 76, корпус 3
1;10;183034, Мурманская область, город Мурманск, проспект Героев-Североморцев, 76, корпус 3
1;11;183034, Мурманская область, город Мурманск, проспект Героев-североморцев, 76, корпус 3
1;12;183034, Мурманская область, город Мурманск, улица Александра Невского, 86
1;13;183034, Мурманская область, город Мурманск, улица Александра Невского, 86
1;14;183040, Мурманская область, город Мурманск, улица Чумбарова-Лучинского, 3Б
1;15;183040, Мурманская область, город Мурманск, улица Чумбарова-Лучинского, 3Б
1;16;183040, Мурманская область, город Мурманск, улица Чумбарова-Лучинского, 3Б
1;17;183053, Мурманская область, город Мурманск, переулок Казарменный, 2
1;18;183031, Мурманская область, город Мурманск, проезд Ивана Халатина, 17
1;19;183031, Мурманская область, город Мурманск, проезд Ивана Халатина, 17
1;20;183031, Мурманская область, город Мурманск, проезд Ивана Халатина, 17
1;21;183040, Мурманская область, город Мурманск, улица Аскольдовцев, 9/22
1;22;183040, Мурманская область, город Мурманск, улица Александрова, 32, корпус 2
1;23;183040, Мурманская область, город Мурманск, улица Александрова, 32, корпус 2
1;24;183034, Мурманская область, город Мурманск, проезд Михаила Ивченко, 15
1;25;183034, Мурманская область, город Мурманск, проезд Михаила Ивченко, 15
1;26;183034, Мурманская область, город Мурманск, улица Магомета Гаджиева, 6А
1;27;183034, Мурманская область, город Мурманск, улица Магомета Гаджиева, 6А
1;28;183031, Мурманская область, город Мурманск, улица Виктора Миронова, 5
1;29;183031, Мурманская область, город Мурманск, улица Виктора Миронова, 5
1;30;183031, Мурманская область, город Мурманск, улица Виктора Миронова, 5
1;31;183031, Мурманская область, город Мурманск, улица Юрия Гагарина, 21
1;32;183031, Мурманская область, город Мурманск, улица Павлика Морозова, 3А
1;33;183031, Мурманская область, город Мурманск, улица Павлика Морозова, 3А
1;34;183031, Мурманская область, город Мурманск, улица Павлика Морозова, 3А
1;35;183031, Мурманская область, город Мурманск, проспект Героев-Североморцев, 9, корпус 3
1;36;183038, Мурманская область, город Мурманск, улица Туристов, 34А
1;37;183038, Мурманская область, город Мурманск, улица Туристов, 34А
1;38;183038, Мурманская область, город Мурманск, улица Челюскинцев, 14
1;39;183038, Мурманская область, город Мурманск, улица Челюскинцев, 14
1;41;183038, Мурманская область, город Мурманск, улица Карла Либкнехта, 18А
1;42;183038, Мурманская область, город Мурманск, улица Володарского, 5
1;43;183071, Мурманская область, город Мурманск, улица Карла Маркса, 13
1;44;183038, Мурманская область, город Мурманск, улица Софьи Перовской, 3
1;45;183038, Мурманская область, город Мурманск, улица Пушкинская, 3
1;46;183038, Мурманская область, город Мурманск, улица Комсомольская, 13
1;47;183038, Мурманская область, город Мурманск, проспект Ленина, 59
1;48;183038, Мурманская область, город Мурманск, проспект Ленина, 59
1;49;183038, Мурманская область, город Мурманск, улица Самойловой, 2
1;50;183036, Мурманская область, город Мурманск, улица Георгия Седова, 8
1;51;183036, Мурманская область, город Мурманск, улица Георгия Седова, 8
1;52;183036, Мурманская область, город Мурманск, улица Георгия Седова, 8
1;53;183036, Мурманская область, город Мурманск, улица Мира, 12
1;54;183036, Мурманская область, город Мурманск, улица Мира, 12
1;55;183036, Мурманская область, город Мурманск, улица Мира, 12
1;56;183036, Мурманская область, город Мурманск, улица Скальная, 12
1;57;183036, Мурманская область, город Мурманск, улица Скальная, 12
1;58;183071, Мурманская область, город Мурманск, улица Капитана Маклакова, 39
1;59;183071, Мурманская область, город Мурманск, улица Капитана Маклакова, 39
1;60;183071, Мурманская область, город Мурманск, проезд Связи, 30
